api,uictype,formation,injbot,slon,slat,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023,1/2024
10933771,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
10933517,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38936799,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10933534,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38939739,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
38900000,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0
10933663,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933662,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38933709,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30132092,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30131671,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10932658,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933821,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933847,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38935373,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933860,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933500,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10933844,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
